layer,fit_pairs,eval_pairs,mean_margin,ci_low,ci_high,cohens_d,margin_std,positive_rate,direction_norm
1,3076,442,-0.03439895063638687,-0.10511108133619435,0.0363131800634206,-0.04535197529336186,0.7584884762763977,0.47737556561085975,0.0015596082666888833
2,3076,442,-0.03219376131892204,-0.09888898433641827,0.03450146169857418,-0.04500097542633817,0.7154014110565186,0.47737556561085975,0.0021902178414165974
3,3076,442,-0.023922236636281013,-0.07737768067692369,0.02953320740436166,-0.041721006523095704,0.5733858942985535,0.47737556561085975,0.004359127022325993
4,3076,442,-0.03206424415111542,-0.10993879451541036,0.045810306213179525,-0.03838578189332859,0.8353156447410583,0.47737556561085975,0.006963974796235561
5,3076,442,-0.03038075380027294,-0.1051566527064405,0.04439514510589462,-0.037877546447519325,0.8020781874656677,0.47737556561085975,0.007315639406442642
6,3076,442,-0.027563301846385002,-0.10460491514767782,0.04947831145490782,-0.03335422154953097,0.8263812065124512,0.4819004524886878,0.019312601536512375
7,3076,442,-0.04021575674414635,-0.13532047114442514,0.054888957656132456,-0.03942204381021471,1.0201337337493896,0.47737556561085975,0.020474422723054886
8,3076,442,-0.03299574553966522,-0.11936944910860355,0.0533779580292731,-0.03561404806747396,0.9264811873435974,0.47737556561085975,0.02006259374320507
9,3076,442,-0.02600095234811306,-0.10107445142337326,0.04907254672714714,-0.032288475018310246,0.8052703738212585,0.4796380090497738,0.024722158908843994
10,3076,442,0.03138544410467148,0.0019718661105998583,0.0607990220987431,0.09947761349113164,0.3155025839805603,0.5452488687782805,0.08714450895786285
11,3076,442,0.032291531562805176,-0.010542246483073017,0.07512530960868337,0.07028249955227116,0.45945337414741516,0.4819004524886878,0.0957973524928093
12,3076,442,0.0403289869427681,0.003637499458338196,0.077020474427198,0.10247004593150263,0.3935685455799103,0.5294117647058824,0.10147354751825333
13,3076,442,0.07043827325105667,0.03135057539773625,0.10952597110437709,0.1680016492267677,0.419271320104599,0.5407239819004525,0.14769119024276733
14,3076,442,0.11723698675632477,0.0711245946136562,0.16334937889899334,0.23702378654883463,0.4946211874485016,0.5678733031674208,0.2071145474910736
15,3076,442,0.15134382247924805,0.09849816538601966,0.20418947957247643,0.26699328144594336,0.5668450593948364,0.5950226244343891,0.24479496479034424
16,3076,442,0.10994552820920944,0.047587879334511245,0.17230317708390763,0.1643738678343404,0.6688747406005859,0.5384615384615384,0.2076280415058136
17,3076,442,0.10114697366952896,0.034519182462697084,0.16777476487636084,0.14152801441564183,0.7146781086921692,0.5226244343891403,0.19692419469356537
18,3076,442,0.1021922156214714,0.03421544367953479,0.17016898756340804,0.14015294074562307,0.7291478514671326,0.5180995475113123,0.19131271541118622
19,3076,442,0.09733612835407257,0.024543019192022883,0.17012923751612224,0.12466046281409886,0.7808099389076233,0.5180995475113123,0.18516774475574493
20,3076,442,0.091681569814682,0.00983992295479151,0.1735232166745725,0.10443657427512468,0.8778684139251709,0.5067873303167421,0.1836550533771515
21,3076,442,0.09288876503705978,0.006830021091397492,0.17894750898272208,0.10062667498326833,0.9231027960777283,0.5,0.1872660219669342
22,3076,442,0.08948466926813126,-0.009069897686081088,0.1880392362223436,0.0846480231156825,1.0571383237838745,0.49095022624434387,0.19047868251800537
23,3076,442,0.08852210640907288,-0.019727326730314534,0.19677153954846027,0.07623792113989553,1.1611295938491821,0.4796380090497738,0.19469919800758362
24,3076,442,0.0879376083612442,-0.03237662320838253,0.20825183993087093,0.06814007150847938,1.2905417680740356,0.4796380090497738,0.20098629593849182
25,3076,442,0.08874530345201492,-0.03673777783916074,0.2142283847431906,0.06593334979786007,1.3459850549697876,0.4796380090497738,0.2066904753446579
26,3076,442,0.0814841091632843,-0.0730428504272527,0.2360110687538213,0.049160195228771984,1.6575220823287964,0.47737556561085975,0.2157592624425888
27,3076,442,0.08749274909496307,-0.07562425077852186,0.250609748968448,0.050005500014887,1.7496625185012817,0.47737556561085975,0.23045247793197632
28,3076,442,0.1013411283493042,-0.06353135466368096,0.2662136113622894,0.057303677451810364,1.768492579460144,0.4796380090497738,0.2478601634502411
29,3076,442,0.11581949144601822,-0.05374744585876426,0.28538642875080067,0.06367741345508077,1.8188472986221313,0.47737556561085975,0.2707773745059967
30,3076,442,0.12927472591400146,-0.06358545375409527,0.32213490558209823,0.062490787170647474,2.0687005519866943,0.47737556561085975,0.30518344044685364
31,3076,442,0.1563272327184677,-0.08259242443081835,0.3952468898677538,0.06099969927351179,2.5627541542053223,0.47737556561085975,0.3625659942626953
32,3076,442,0.3915054500102997,-0.08203183146076148,0.8650427314813609,0.07707766900834344,5.079362869262695,0.49547511312217196,0.736749529838562
