layer,fit_pairs,eval_pairs,mean_margin,ci_low,ci_high,cohens_d,margin_std,positive_rate,direction_norm
1,3076,442,-0.48349660634994507,-1.5053460957576197,0.5383528830577295,-0.044111460229831055,10.960793495178223,0.47737556561085975,1.0
2,3076,442,-0.6273701786994934,-1.9278319284053,0.6730915710063132,-0.04497500548475416,13.949307441711426,0.47737556561085975,0.9999999403953552
3,3076,442,-0.5698294639587402,-1.7809212760830813,0.6412623481656008,-0.043864458262732255,12.990687370300293,0.47737556561085975,1.0
4,3076,442,-0.5761975646018982,-1.8097142351769238,0.6573191059731274,-0.04354831260695407,13.231225967407227,0.47737556561085975,1.0
5,3076,442,-0.631064236164093,-1.9878780193224244,0.7257495469942383,-0.04336089705949133,14.553763389587402,0.47737556561085975,1.0
6,3076,442,-0.5348228216171265,-1.7293999915101965,0.6597543482759436,-0.041738867108639305,12.813544273376465,0.47737556561085975,0.9999999403953552
7,3076,442,-0.769504964351654,-2.4667641833397798,0.9277542546364717,-0.042267658153708476,18.20552635192871,0.47737556561085975,1.0000001192092896
8,3076,442,-0.8438909649848938,-2.6797827406271133,0.9920008106573257,-0.04285329273213456,19.69255828857422,0.47737556561085975,1.0
9,3076,442,-0.6334402561187744,-2.140610028807856,0.873729516570307,-0.03918216428505865,16.166545867919922,0.47737556561085975,1.0
10,3076,442,-0.6894584894180298,-2.307632036045179,0.9287150572091198,-0.03972171243388319,17.357219696044922,0.47737556561085975,1.0
11,3076,442,-0.7216429710388184,-2.363006614642422,0.9197206725647853,-0.04098854602795464,17.605966567993164,0.47737556561085975,1.0
12,3076,442,-0.46066582202911377,-1.5951672777520736,0.673835633693846,-0.03785522843355649,12.169146537780762,0.47737556561085975,0.9999999403953552
13,3076,442,-0.2651015520095825,-1.1533271651801726,0.6231240611610076,-0.027824919366737356,9.527486801147461,0.47737556561085975,0.9999998807907104
14,3076,442,-0.2974761426448822,-1.2783864822846165,0.6834341969948522,-0.028272731295868495,10.521662712097168,0.47737556561085975,0.9999999403953552
15,3076,442,0.5200314521789551,0.049422028253159445,0.9906408761047507,0.10301819307798148,5.047957420349121,0.5271493212669683,1.0000001192092896
16,3076,442,0.6590088605880737,0.1983994602693273,1.1196182609068202,0.13338389446815213,4.940692901611328,0.5429864253393665,1.0
17,3076,442,1.1811015605926514,0.5459188208415546,1.816284300343748,0.17335385020662214,6.813241004943848,0.583710407239819,1.0
18,3076,442,2.3998594284057617,1.474898187282014,3.3248206695295095,0.24188403550082344,9.921528816223145,0.5859728506787331,0.9999998807907104
19,3076,442,2.470409870147705,1.525700638417336,3.415119101878074,0.24378994600959644,10.133354187011719,0.581447963800905,1.0000001192092896
20,3076,442,3.782430410385132,2.70320936967028,4.861651451099984,0.32674238848095855,11.57618522644043,0.6085972850678733,1.0
21,3076,442,3.715202808380127,2.6514705795130995,4.778935037247154,0.325608058975452,11.410045623779297,0.5950226244343891,0.9999998807907104
22,3076,442,4.0227813720703125,2.8885283276917235,5.1570344164489015,0.330644584146353,12.166481971740723,0.5972850678733032,1.0
23,3076,442,4.2997355461120605,3.1287065091595747,5.470764583064547,0.34230955185429207,12.560956954956055,0.6108597285067874,1.0
24,3076,442,4.582459449768066,3.377825532417658,5.787093367118475,0.3546406223060917,12.921417236328125,0.6176470588235294,1.0
25,3076,442,5.1757121086120605,3.9361234076992404,6.415300809524881,0.3892579033743571,13.296357154846191,0.6402714932126696,0.9999999403953552
26,3076,442,5.606313705444336,4.2745944469633965,6.938032963925275,0.3924728795858217,14.284588813781738,0.6312217194570136,0.9999999403953552
27,3076,442,6.060507297515869,4.569312490300603,7.5517021047311355,0.37889557430062437,15.99519157409668,0.6244343891402715,0.9999999403953552
28,3076,442,6.653121471405029,5.102784315192596,8.203458627617461,0.40007759768442225,16.62957763671875,0.6583710407239819,0.9999999403953552
